Produto,Preço,Marca
,,
"Notebook Dell Inspiron 15 3000 Intel Core i3 - 8GB 256GB SSD 15,6” Full HD Windows 11","R$ 2.975,07",Notebook Dell
"Notebook Dell Inspiron 15 3000 Intel Core i5 - 8GB 256GB SSD 15,6” Full HD Windows 11","R$ 3.284,10",Notebook Dell
"Notebook Dell Inspiron 15 Intel Core i5 16GB - 512GB SSD 15,6” Full HD Windows 11 i15-i1100-A58PF","R$ 4.091,07",Notebook Dell
"Notebook Gamer Dell G15 AMD Ryzen 5 8GB - 256GB SSD 15,6” Full HD NVIDIA RTX 3050 4GB","R$ 5.021,07",Notebook Dell
"Notebook Dell Inspiron 15 3000 i15-a0505-MM10P 15.6"" FHD AMD Ryzen 5 8GB 256GB SSD Windows 11 Preto","R$ 3.381,05",Notebook Dell
"Notebook Dell Inspiron 15 3000 Intel Core i7 8GB - 256GB SSD 15,6” Full HD Windows 11 i15-i1100-A60P","R$ 3.998,07",Notebook Dell
"Notebook Dell Inspiron i15-i1100-M10P 15.6"" Full HD Intel Pentium Gold 4GB 128GB SSD Windows 11 Preto","R$ 2.497,55",Notebook Dell
Notebook Dell Inspiron 15 i1101-M60S 15.6” Full HD 11ª geração Intel Core i7 16GB 512GB SSD NVIDIA Geforce Windows 11,"R$ 5.936,55",Notebook Dell
"Notebook Dell Inspiron i15-i1100-U10P 15.6"" Full HD Intel Pentium Gold 4GB 128GB SSD Linux Preto","R$ 2.345,55",Notebook Dell
Notebook Dell Inspiron 15 i1101-M10S 15.6” Full HD 11ª geração Intel Core i5 8GB 256GB SSD Windows 11,"R$ 3.932,05",Notebook Dell
